abate;abates;is abateing:V
ankylose;ankyloses;is ankyloseing:V
anneal;anneals;is annealling:V
annex;annexs;is annexing:V
annotate;annotates;is annotateing:V
annoy;annoys;is annoying:V
annul;annuls;is annulling:V
anodize;anodizes;is anodizeing:V
answer back;answer backs;is answer backing:V
answer;answers;is answering:V
Antalya;Antalyas;is Antalyaing:V
antedate;antedates;is antedateing:V
anthropomorphize;anthropomorphizes;is anthropomorphizeing:V
anticipate;anticipates;is anticipateing:V
apostrophize;apostrophizes;is apostrophizeing:V
appal;appals;is appalling:V
apparel;apparels;is apparelling:V
applaud;applauds;is applaudding:V
applique;appliques;is appliqueing:V
appliqud;appliquds;is appliqudding:V
apply;applys;is applying:V
appoint;appoints;is appointting:V
appreciate;appreciates;is appreciateing:V
approach;approachs;is approaching:V
appropriate;appropriates;is appropriateing:V
approve;approves;is approveing:V
approximate;approximates;is approximateing:V
arbitrate;arbitrates;is arbitrateing:V
arc;arcs;is arcing:V
are;ares;is areing:V
argue;argues;is argueing:V
argufy;argufys;is argufying:V
arise;arises;is ariseing:V
arm;arms;is armming:V
arose;aroses;is aroseing:V
articulate;articulates;is articulateing:V
art;arts;is artting:V
ascend;ascends;is ascendding:V
ask after;ask afters;is ask aftering:V
ask for;ask fors;is ask foring:V
ask;asks;is asking:V
asphyxiate;asphyxiates;is asphyxiateing:V
aspirate;aspirates;is aspirateing:V
assay;assays;is assaying:V
assemble;assembles;is assembleing:V
assibilate;assibilates;is assibilateing:V
assign;assigns;is assignning:V
assist;assists;is assistting:V
associate;associates;is associateing:V
astrict;astricts;is astrictting:V
ate;ates;is ateing:V
atomize;atomizes;is atomizeing:V
atrophy;atrophys;is atrophying:V
attacca;attaccas;is attaccaing:V
attach;attachs;is attaching:V
attack;attacks;is attacking:V
attend;attends;is attendding:V
attenuate;attenuates;is attenuateing:V
attract;attracts;is attractting:V
attribute;attributes;is attributeing:V
audition;auditions;is auditionning:V
audit;audits;is auditting:V
augment;augments;is augmentting:V
augur;augurs;is auguring:V
auscultate;auscultates;is auscultateing:V
Australianize;Australianizes;is Australianizeing:V
author;authors;is authoring:V
autolyse;autolyses;is autolyseing:V
automate;automates;is automateing:V
automatize;automatizes;is automatizeing:V
autotomize;autotomizes;is autotomizeing:V
avail;avails;is availling:V
avalanche;avalanches;is avalancheing:V
avenge;avenges;is avengeing:V
aver;avers;is avering:V
aviate;aviates;is aviateing:V
awake;awakes;is awakeing:V
awoke;awokes;is awokeing:V
azotize;azotizes;is azotizeing:V
a;as;is aing:V
baa;baas;is baaing:V
babble;babbles;is babbleing:V
baby-sit;baby-sits;is baby-sitting:V
baby;babys;is babying:V
bach;bachs;is baching:V
back down;back downs;is back downning:V
back up;back ups;is back uping:V
back-lit;back-lits;is back-litting:V
back-pedal;back-pedals;is back-pedalling:V
backbite;backbites;is backbiteing:V
backbitten;backbittens;is backbittenning:V
backbit;backbits;is backbitting:V
backcomb;backcombs;is backcombing:V
backcross;backcrosss;is backcrossing:V
backslidden;backsliddens;is backsliddenning:V
backslide;backslides;is backslideing:V
backslid;backslids;is backslidding:V
backspace;backspaces;is backspaceing:V
backstitch;backstitchs;is backstitching:V
backwater;backwaters;is backwatering:V
bade;bades;is badeing:V
bad;bads;is badding:V
bag;bags;is baging:V
bail up;bail ups;is bail uping:V
bail;bails;is bailling:V
baksheesh;baksheeshs;is baksheeshing:V
bale out;bale outs;is bale outting:V
bale;bales;is baleing:V
ballocks;ballockss;is ballocksing:V
ballot;ballots;is ballotting:V
balls-up;balls-ups;is balls-uping:V
ballyhoo;ballyhoos;is ballyhooing:V
ballyrag;ballyrags;is ballyraging:V
ball;balls;is ballling:V
bandage;bandages;is bandageing:V
bandicoot;bandicoots;is bandicootting:V
bandie;bandies;is bandieing:V
bandy;bandys;is bandying:V
band;bands;is bandding:V
bang;bangs;is banging:V
bank;banks;is banking:V
banquet;banquets;is banquetting:V
banter;banters;is bantering:V
ban;bans;is banning:V
baptize;baptizes;is baptizeing:V
barbarize;barbarizes;is barbarizeing:V
barbecue;barbecues;is barbecueing:V
bare;bares;is bareing:V
bargain;bargains;is bargainning:V
barrack;barracks;is barracking:V
barrel roll;barrel rolls;is barrel rolling:V
barrel;barrels;is barrelling:V
barr;barrs;is barring:V
barter;barters;is bartering:V
bar;bars;is baring:V
basify;basifys;is basifying:V
basset;bassets;is bassetting:V
baste;bastes;is basteing:V
bastinado;bastinados;is bastinadoing:V
batch;batchs;is batching:V
bate;bates;is bateing:V
bath;baths;is bathing:V
batter;batters;is battering:V
battledore;battledores;is battledoreing:V
bat;bats;is batting:V
baulk;baulks;is baulking:V
bayonet;bayonets;is bayonetting:V
beach;beachs;is beaching:V
beacon;beacons;is beaconning:V
beam;beams;is beamming:V
bean;beans;is beanning:V
bear off;bear offs;is bear offing:V
bear;bears;is bearing:V
beat down;beat downs;is beat downning:V
beatify;beatifys;is beatifying:V
beat;beats;is beatting:V
beautify;beautifys;is beautifying:V
became;becames;is becameing:V
beckon;beckons;is beckonning:V
become;becomes;is becomeing:V
bedevil;bedevils;is bedevilling:V
bedight;bedights;is bedightting:V
bedim;bedims;is bedimming:V
been;beens;is beenning:V
beep;beeps;is beeping:V
beestride;beestrides;is beestrideing:V
befallen;befallens;is befallenning:V
befall;befalls;is befallling:V
befell;befells;is befellling:V
befit;befits;is befitting:V
befog;befogs;is befoging:V
began;begans;is beganning:V
begat;begats;is begatting:V
beget;begets;is begetting:V
begin;begins;is beginning:V
begird;begirds;is begirdding:V
begotten;begottens;is begottenning:V
begot;begots;is begotting:V
beguile;beguiles;is beguileing:V
begun;beguns;is begunning:V
beg;begs;is beging:V
beheld;behelds;is beheldding:V
behold;beholds;is beholdding:V
bejewel;bejewels;is bejewelling:V
belay;belays;is belaying:V
belch;belchs;is belching:V
belie;belies;is belieing:V
belly ache;belly aches;is belly acheing:V
belly dance;belly dances;is belly danceing:V
belly flop;belly flops;is belly floping:V
belly;bellys;is bellying:V
bell;bells;is bellling:V
belt up;belt ups;is belt uping:V
bemean;bemeans;is bemeanning:V
bemoan;bemoans;is bemoanning:V
bename;benames;is benameing:V
bend;bends;is bendding:V
benempt;benempts;is benemptting:V
berry;berrys;is berrying:V
beseech;beseechs;is beseeching:V
beseem;beseems;is beseemming:V
beset;besets;is besetting:V
besought;besoughts;is besoughtting:V
bespeak;bespeaks;is bespeaking:V
bespread;bespreads;is bespreadding:V
bestead;besteads;is besteadding:V
bestir;bestirs;is bestiring:V
bestrew;bestrews;is bestrewing:V
betake;betakes;is betakeing:V
bethink;bethinks;is bethinking:V
bethought;bethoughts;is bethoughtting:V
betide;betides;is betideing:V
betook;betooks;is betooking:V
better;betters;is bettering:V
bet;bets;is betting:V
bevel;bevels;is bevelling:V
bewail;bewails;is bewailling:V
beware;bewares;is bewareing:V
be;bes;is being:V
bias;biass;is biasing:V
bib;bibs;is bibing:V
bid in;bid ins;is bid inning:V
bid up;bid ups;is bid uping:V
bidden;biddens;is biddenning:V
bide;bides;is bideing:V
bid;bids;is bidding:V
bifurcate;bifurcates;is bifurcateing:V
big-note;big-notes;is big-noteing:V
bike;bikes;is bikeing:V
billow;billows;is billowing:V
bind;binds;is bindding:V
bin;bins;is binning:V
bio-assay;bio-assays;is bio-assaying:V
bird dog;bird dogs;is bird doging:V
birl;birls;is birlling:V
birr;birrs;is birring:V
bist;bists;is bistting:V
bitch;bitchs;is bitching:V
bite;bites;is biteing:V
bitten;bittens;is bittenning:V
bitter;bitters;is bittering:V
bit;bits;is bitting:V
bivouac;bivouacs;is bivouacing:V
blab;blabs;is blabing:V
black market;black markets;is black marketting:V
blackberry;blackberrys;is blackberrying:V
blacken;blackens;is blackenning:V
blackleg;blacklegs;is blackleging:V
blackout;blackouts;is blackoutting:V
black;blacks;is blacking:V
blanch;blanchs;is blanching:V
blare;blares;is blareing:V
blarney;blarneys;is blarneying:V
blastoff;blastoffs;is blastoffing:V
blast;blasts;is blastting:V
blat;blats;is blatting:V
blaze;blazes;is blazeing:V
bleach;bleachs;is bleaching:V
blench;blenchs;is blenching:V
blend;blends;is blendding:V
blent;blents;is blentting:V
bless;blesss;is blessing:V
blest;blests;is blestting:V
blether;blethers;is blethering:V
blew;blews;is blewing:V
blight;blights;is blightting:V
blind;blinds;is blindding:V
blink;blinks;is blinking:V
blip;blips;is bliping:V
blister;blisters;is blistering:V
bloat;bloats;is bloatting:V
blob;blobs;is blobing:V
blockade;blockades;is blockadeing:V
block;blocks;is blocking:V
bloodiest;bloodiests;is bloodiestting:V
bloody;bloodys;is bloodying:V
blotch;blotchs;is blotching:V
blot;blots;is blotting:V
blouse;blouses;is blouseing:V
blow off;blow offs;is blow offing:V
blow out;blow outs;is blow outting:V
blow up;blow ups;is blow uping:V
blown;blowns;is blownning:V
blow;blows;is blowing:V
blubber;blubbers;is blubbering:V
blub;blubs;is blubing:V
bludge;bludges;is bludgeing:V
blue pencil;blue pencils;is blue pencilling:V
bluff;bluffs;is bluffing:V
blunder;blunders;is blundering:V
blur;blurs;is bluring:V
bluster;blusters;is blustering:V
board;boards;is boardding:V
bobble;bobbles;is bobbleing:V
bob;bobs;is bobing:V
bode;bodes;is bodeing:V
bodge;bodges;is bodgeing:V
body;bodys;is bodying:V
bog down;bog downs;is bog downning:V
bogey;bogeys;is bogeying:V
boil away;boil aways;is boil awaying:V
boil down;boil downs;is boil downning:V
boil off;boil offs;is boil offing:V
boil over;boil overs;is boil overing:V
boil;boils;is boilling:V
bomb out;bomb outs;is bomb outting:V
bombard;bombards;is bombardding:V
bomb;bombs;is bombing:V
bond;bonds;is bondding:V
bone;bones;is boneing:V
bong;bongs;is bonging:V
booby trap;booby traps;is booby traping:V
boodle;boodles;is boodleing:V
boogie;boogies;is boogieing:V
boohoos;boohooss;is boohoosing:V
boohoo;boohoos;is boohooing:V
book into;book intos;is book intoing:V
book in;book ins;is book inning:V
book out;book outs;is book outting:V
book;books;is booking:V
boom;booms;is boomming:V
bootleg;bootlegs;is bootleging:V
bootlick;bootlicks;is bootlicking:V
boot;boots;is bootting:V
booze;boozes;is boozeing:V
boo;boos;is booing:V
Bop;Bops;is Boping:V
bop;bops;is boping:V
borate;borates;is borateing:V
bore;bores;is boreing:V
borne;bornes;is borneing:V
born;borns;is bornning:V
borrow;borrows;is borrowing:V
boss;bosss;is bossing:V
bot;bots;is botting:V
bought;boughts;is boughtting:V
boult;boults;is boultting:V
bound;bounds;is boundding:V
bourgeon;bourgeons;is bourgeonning:V
bow out;bow outs;is bow outting:V
bowl;bowls;is bowlling:V
bowse;bowses;is bowseing:V
bow;bows;is bowing:V
boxhaul;boxhauls;is boxhaulling:V
brabble;brabbles;is brabbleing:V
brace;braces;is braceing:V
brachiate;brachiates;is brachiateing:V
brag;brags;is braging:V
braise;braises;is braiseing:V
brake;brakes;is brakeing:V
bravest;bravests;is bravestting:V
break down;break downs;is break downning:V
break in;breaks in;is breaking in:V
break of day;break of days;is break of daying:V
break up;break ups;is break uping:V
breakaway;breakaways;is breakawaying:V
breakfast;breakfasts;is breakfastting:V
breakwater;breakwaters;is breakwatering:V
break;breaks;is breaking:V
bream;breams;is breamming:V
breathe;breathes;is breatheing:V
brede;bredes;is bredeing:V
breech;breechs;is breeching:V
brei;breis;is breiing:V
brevet;brevets;is brevetting:V
brew;brews;is brewing:V
bribe;bribes;is bribeing:V
bridge;bridges;is bridgeing:V
brighten;brightens;is brightenning:V
brim;brims;is brimming:V
bristle;bristles;is bristleing:V
broadcast;broadcasts;is broadcastting:V
broaden;broadens;is broadenning:V
broil;broils;is broilling:V
broken;brokens;is brokenning:V
broke;brokes;is brokeing:V
bromate;bromates;is bromateing:V
brominate;brominates;is brominateing:V
bronze;bronzes;is bronzeing:V
brood;broods;is broodding:V
brought;broughts;is broughtting:V
browbeat;browbeats;is browbeatting:V
brown;browns;is brownning:V
browse;browses;is browseing:V
bruise;bruises;is bruiseing:V
bruit;bruits;is bruitting:V
brush up;brush ups;is brush uping:V
brutalize;brutalizes;is brutalizeing:V
brutify;brutifys;is brutifying:V
bubble;bubbles;is bubbleing:V
buck up;buck ups;is buck uping:V
buckle;buckles;is buckleing:V
buckram;buckrams;is buckramming:V
budge;budges;is budgeing:V
bud;buds;is budding:V
buffet;buffets;is buffetting:V
buff;buffs;is buffing:V
bugger about;buggers about;is buggering about:V
bugger off;bugger offs;is bugger offing:V
bugger;buggers;is buggering:V
bug;bugs;is buging:V
build up;build ups;is build uping:V
build;builds;is buildding:V
built;builts;is builtting:V
bulge;bulges;is bulgeing:V
bulk up;bulk ups;is bulk uping:V
bulk;bulks;is bulking:V
bullshit;bullshits;is bullshitting:V
bullwhip;bullwhips;is bullwhiping:V
bully-off;bully-offs;is bully-offing:V
bullyrag;bullyrags;is bullyraging:V
bully;bullys;is bullying:V
bumble;bumbles;is bumbleing:V
bump start;bump starts;is bump starting:V
bump;bumps;is bumping:V
bum;bums;is bumming:V
bunch;bunchs;is bunching:V
bunco;buncos;is buncoing:V
bundle up;bundles up;is bundling up:V
bunko;bunkos;is bunkoing:V
bunt;bunts;is buntting:V
burble;burbles;is burbleing:V
burgeon;burgeons;is burgeonning:V
burgle;burgles;is burgleing:V
burlesque;burlesques;is burlesqueing:V
burn out;burns out;is burning out:V
burnish;burnishs;is burnishing:V
burn;burns;is burnning:V
burrow;burrows;is burrowing:V
burr;burrs;is burring:V
burst;bursts;is burstting:V
burthen;burthens;is burthenning:V
bury;burys;is burying:V
bur;burs;is buring:V
bushel;bushels;is bushelling:V
bushwhack;bushwhacks;is bushwhacking:V
bush;bushs;is bushing:V
buss;busss;is bussing:V
bust-up;bust-ups;is bust-uping:V
bustle;bustles;is bustleing:V
bust;busts;is bustting:V
busy;busys;is busying:V
bus;buss;is busing:V
button;buttons;is buttonning:V
buttstrap;buttstraps;is buttstraping:V
butt;butts;is buttting:V
buy in;buys in;is buying in:V
buy;buys;is buying:V
bypass;bypasss;is bypassing:V
cabal;cabals;is caballing:V
cabbage;cabbages;is cabbageing:V
cabin;cabins;is cabinning:V
cable;cables;is cableing:V
caddie;caddies;is caddieing:V
cadge;cadges;is cadgeing:V
cagmag;cagmags;is cagmaging:V
cajole;cajoles;is cajoleing:V
calcify;calcifys;is calcifying:V
calculate;calculates;is calculateing:V
calk;calks;is calking:V
calls in;calls in;is calling in:V
call out;calls out;is calling out:V
call up;calls up;is calling upg:V
callous;callouss;is callousing:V
callus;calluss;is callusing:V
call;calls;is calling:V
calm;calms;is calmming:V
calque;calques;is calqueing:V
calve;calves;is calveing:V
camber;cambers;is cambering:V
came;cames;is cameing:V
canal;canals;is canalling:V
cancel;cancels;is cancelling:V
candy;candys;is candying:V
canker;cankers;is cankering:V
cannonade;cannonades;is cannonadeing:V
cannon;cannons;is cannonning:V
cannot;cannots;is cannotting:V
Cannulate;Cannulates;is Cannulateing:V
canoe;canoes;is canoeing:V
canopy;canopys;is canopying:V
canst;cansts;is canstting:V
canter;canters;is cantering:V
cantillate;cantillates;is cantillateing:V
canton;cantons;is cantonning:V
canvass;canvasss;is canvassing:V
can;cans;is canning:V
capitalize;capitalizes;is capitalizeing:V
capsize;capsizes;is capsizeing:V
caption;captions;is captionning:V
cap;caps;is caping:V
caramelize;caramelizes;is caramelizeing:V
caravan;caravans;is caravanning:V
carbonado;carbonados;is carbonadoing:V
carbonate;carbonates;is carbonateing:V
carbonize;carbonizes;is carbonizeing:V
carburet;carburets;is carburetting:V
carburize;carburizes;is carburizeing:V
card index;card indexs;is card indexing:V
careen;careens;is careenning:V
care;cares;is careing:V
carillon;carillons;is carillonning:V
cark;carks;is carking:V
carnify;carnifys;is carnifying:V
carny;carnys;is carnying:V
carol;carols;is carolling:V
carries;carriess;is carriesing:V
carry on;carry ons;is carry onning:V
carry;carrys;is carrying:V
cartelize;cartelizes;is cartelizeing:V
cart;carts;is cartting:V
carven;carvens;is carvenning:V
casefy;casefys;is casefying:V
cash in;cash ins;is cash inning:V
casserole;casseroles;is casseroleing:V
cast back;cast backs;is cast backing:V
cast on;cast ons;is cast onning:V
castaway;castaways;is castawaying:V
castle;castles;is castleing:V
cast;casts;is castting:V
catalogue;catalogues;is catalogueing:V
catcall;catcalls;is catcallling:V
catch up;catch ups;is catch uping:V
catch;catchs;is catching:V
catenate;catenates;is catenateing:V
catholicize;catholicizes;is catholicizeing:V
catnap;catnaps;is catnaping:V
cat;cats;is catting:V
caught;caughts;is caughtting:V
caulk;caulks;is caulking:V
cavil;cavils;is cavilling:V
cease;ceases;is ceaseing:V
cede;cedes;is cedeing:V
celebrate;celebrates;is celebrateing:V
censure;censures;is censureing:V
center;centers;is centering:V
centralize;centralizes;is centralizeing:V
centre;centres;is centreing:V
centuplicate;centuplicates;is centuplicateing:V
certificate;certificates;is certificateing:V
certify;certifys;is certifying:V
chafe;chafes;is chafeing:V
chaff;chaffs;is chaffing:V
chagrin;chagrins;is chagrinning:V
chain stitch;chain stitchs;is chain stitching:V
chain-smoke;chain-smokes;is chain-smokeing:V
chain;chains;is chainning:V
chalk;chalks;is chalking:V
challenge;challenges;is challengeing:V
champ;champs;is champing:V
change round;change rounds;is change roundding:V
changeover;changeovers;is changeovering:V
change;changes;is changeing:V
channel;channels;is channelling:V
chant;chants;is chantting:V
chaperon;chaperons;is chaperonning:V
chap;chaps;is chaping:V
charge;charges;is chargeing:V
charm;charms;is charmming:V
char;chars;is charing:V
chase;chases;is chaseing:V
chass;chasses;is chassing:V
chatter;chatters;is chattering:V
chat;chats;is chatting:V
chauffeur;chauffeurs;is chauffeuring:V
chaw;chaws;is chawing:V
cheapen;cheapens;is cheapenning:V
cheat;cheats;is cheatting:V
check in;check ins;is check inning:V
checker;checkers;is checkering:V
checksum;checksums;is checksumming:V
check;checks;is checking:V
cheer;cheers;is cheering:V
cheese;cheeses;is cheeseing:V
cheezit;cheezits;is cheezitting:V
chevy;chevys;is chevying:V
chew;chews;is chewing:V
chide;chides;is chideing:V
chime;chimes;is chimeing:V
chink;chinks;is chinking:V
chin;chins;is chinning:V
chip in;chips in;is chipping in:V
chip;chips;is chiping:V
chisel;chisels;is chiselling:V
chitchat;chitchats;is chitchatting:V
chivy;chivys;is chivying:V
chomp;chomps;is chomping:V
chondrify;chondrifys;is chondrifying:V
chook;chooks;is chooking:V
choose;chooses;is chooseing:V
chop;chops;is choping:V
chorus;choruss;is chorusing:V
chosen;chosens;is chosenning:V
chose;choses;is choseing:V
chrome;chromes;is chromeing:V
chuck;chucks;is chucking:V
chug;chugs;is chuging:V
chump;chumps;is chumping:V
chum;chums;is chumming:V
churn;churns;is churnning:V
churr;churrs;is churring:V
chute;chutes;is chuteing:V
chyack;chyacks;is chyacking:V
cicatrize;cicatrizes;is cicatrizeing:V
cinch;cinchs;is cinching:V
cinematograph;cinematographs;is cinematographing:V
cipher;ciphers;is ciphering:V
circuit;circuits;is circuitting:V
circulate;circulates;is circulateing:V
circumambulate;circumambulates;is circumambulateing:V
citify;citifys;is citifying:V
clack;clacks;is clacking:V
clad;clads;is cladding:V
claim;claims;is claimming:V
clamber;clambers;is clambering:V
clam;clams;is clamming:V
clang;clangs;is clanging:V
clank;clanks;is clanking:V
clapper;clappers;is clappering:V
clap;claps;is claping:V
clarify;clarifys;is clarifying:V
clarion;clarions;is clarionning:V
clash;clashs;is clashing:V
classify;classifys;is classifying:V
class;classs;is classing:V
clatter;clatters;is clattering:V
clave;claves;is claveing:V
claw off;claws off;is clawing off:V
claw;claws;is clawing:V
clean up;clean ups;is clean uping:V
clean;cleans;is cleanning:V
clear away;clear aways;is clear awaying:V
clear out;clear outs;is clear outting:V
clear up;clear ups;is clear uping:V
clear;clears;is clearing:V
cleave;cleaves;is cleaveing:V
cleft;clefts;is cleftting:V
clem;clems;is clemming:V
clench;clenchs;is clenching:V
clepe;clepes;is clepeing:V
clept;clepts;is cleptting:V
clew up;clew ups;is clew uping:V
click;clicks;is clicking:V
climax;climaxs;is climaxing:V
climb;climbs;is climbing:V
clink;clinks;is clinking:V
clip;clips;is cliping:V
clog;clogs;is cloging:V
cloke;clokes;is clokeing:V
clomb;clombs;is clombing:V
clomp;clomps;is clomping:V
clop;clops;is cloping:V
close down;close downs;is close downning:V
close out;close outs;is close outting:V
close-up;close-ups;is close-uping:V
closer;closers;is closering:V
closest;closests;is closestting:V
close;closes;is closeing:V
clothe;clothes;is clotheing:V
clot;clots;is clotting:V
cloud;clouds;is cloudding:V
cloven;clovens;is clovenning:V
clove;cloves;is cloveing:V
cloy;cloys;is cloying:V
clubhaul;clubhauls;is clubhaulling:V
club;clubs;is clubing:V
clue;clues;is clueing:V
clung;clungs;is clunging:V
clunk;clunks;is clunking:V
cluster;clusters;is clustering:V
clutter;clutters;is cluttering:V
co-star;co-stars;is co-starring:V
coach;coachs;is coaching:V
coagulate;coagulates;is coagulateing:V
coal;coals;is coalling:V
coarsen;coarsens;is coarsenning:V
coast;coasts;is coastting:V
coax;coaxs;is coaxing:V
cob;cobs;is cobing:V
cockle;cockles;is cockleing:V
cockneyfy;cockneyfys;is cockneyfying:V
cockup;cockups;is cockuping:V
codify;codifys;is codifying:V
cod;cods;is codding:V
coextend;coextends;is coextendding:V
coff;coffs;is coffing:V
coft;cofts;is coftting:V
cogitate;cogitates;is cogitateing:V
cog;cogs;is coging:V
coif;coifs;is coifing:V
coil;coils;is coilling:V
coinsure;coinsures;is coinsureing:V
coke;cokes;is cokeing:V
cold shoulder;cold shoulders;is cold shouldering:V
cold work;cold works;is cold working:V
collect;collects;is collecting:V
collogue;collogues;is collogueing:V
colonize;colonizes;is colonizeing:V
color;colors;is coloring:V
combat;combats;is combatting:V
combine;combines;is combineing:V
combust;combusts;is combustting:V
comb;combs;is combing:V
come-on;comes-on;is coming-on:V
comeback;comebacks;is comebacking:V
comedown;comedowns;is comedownning:V
cometh;comeths;is comething:V
come;comes;is comeing:V
command;commands;is commandding:V
commence;commences;is commenceing:V
commend;commends;is commendding:V
commentate;commentates;is commentateing:V
comment;comments;is commentting:V
commingle;commingles;is commingleing:V
comminute;comminutes;is comminuteing:V
commisce;commisces;is commisceing:V
commiserate;commiserates;is commiserateing:V
commit;commits;is committing:V
commix;commixs;is commixing:V
commune;communes;is communeing:V
communicate;communicates;is communicateing:V
compact;compacts;is compactting:V
company;companys;is companying:V
compartmentalize;compartmentalizes;is compartmentalizeing:V
compel;compels;is compelling:V
compensate;compensates;is compensateing:V
compere;comperes;is compereing:V
complement;complements;is complementting:V
complicate;complicates;is complicateing:V
compliment;compliments;is complimentting:V
complot;complots;is complotting:V
comply;complys;is complying:V
compose;composes;is composeing:V
compound;compounds;is compoundding:V
comprehend;comprehends;is comprehendding:V
compress;compresss;is compressing:V
compromise;compromises;is compromiseing:V
compute;computes;is computeing:V
concede;concedes;is concedeing:V
conceive;conceives;is conceiveing:V
concelebrate;concelebrates;is concelebrateing:V
concentre;concentres;is concentreing:V
conceptualize;conceptualizes;is conceptualizeing:V
concertina;concertinas;is concertinaing:V
concert;concerts;is concerting:V
conclude;concludes;is concludeing:V
concur;concurs;is concuring:V
condition;conditions;is conditionning:V
conduct;conducts;is conductting:V
cone;cones;is coneing:V
confab;confabs;is confabing:V
confederate;confederates;is confederateing:V
confer;confers;is confering:V
confess;confesss;is confessing:V
confide;confides;is confideing:V
confine;confines;is confineing:V
conflict;conflicts;is conflictting:V
conga;congas;is congaing:V
congeal;congeals;is congealling:V
congest;congests;is congestting:V
conglobate;conglobates;is conglobateing:V
conglomerate;conglomerates;is conglomerateing:V
conglutinate;conglutinates;is conglutinateing:V
congregate;congregates;is congregateing:V
conjecture;conjectures;is conjectureing:V
conjoin;conjoins;is conjoinning:V
conjugate;conjugates;is conjugateing:V
conk;conks;is conking:V
connect;connects;is connectting:V
conn;conns;is connning:V
conquer;conquers;is conquering:V
conscript;conscripts;is conscriptting:V
consent;consents;is consentting:V
conserve;conserves;is conserveing:V
consider;considers;is considering:V
consign;consigns;is consignning:V
consociate;consociates;is consociateing:V
console;consoles;is consoleing:V
consolidate;consolidates;is consolidateing:V
consort;consorts;is consortting:V
conspire;conspires;is conspireing:V
constellate;constellates;is constellateing:V
construct;constructs;is constructting:V
construe;construes;is construeing:V
consult;consults;is consultting:V
consummate;consummates;is consummateing:V
cons;conss;is consing:V
contact;contacts;is contactting:V
contaminate;contaminates;is contaminateing:V
contango;contangos;is contangoing:V
contemplate;contemplates;is contemplateing:V
