abate;abates;is abating:Verb
back-pedal;back-pedals;is back-pedalling:Verb
backbite;backbites;is backbiting:Verb
backbitten;backbittens;is backbittening:Verb
backbit;backbits;is backbiting:Verb
backcomb;backcombs;is backcombing:Verb
backcross;backcrosss;is backcrossing:Verb
backslidden;backsliddens;is backsliddening:Verb
backslide;backslides;is backsliding:Verb
backslid;backslids;is backsliding:Verb
backspace;backspaces;is backspacing:Verb
backstitch;backstitchs;is backstitching:Verb
backwater;backwaters;is backwatering:Verb
bade;bades;is badging:Verb
bad;bads;is bading:Verb
bag;bags;is baging:Verb
bail up;bail ups;is bail uping:Verb
bail;bails;is bailling:Verb
baksheesh;baskets;is baksheeshing:Verb
bale out;bale outs;is bale outing:Verb
bale;bales;is baleing:Verb
ballocks;ballockss;is bolloxing:Verb
ballot;ballots;is balloting:Verb
balls-up;balls-ups;is balls-uping:Verb
ballyhoo;ballyhoos;is ballyhooing:Verb
ballyrag;ballyrags;is ballyraging:Verb
ball;balls;is balling:Verb
bandage;bandages;is bandaging:Verb
bandicoot;bandicoots;is bandicooting:Verb
bandie;bandies;is bandieing:Verb
bandy;bandys;is bandying:Verb
band;bands;is banding:Verb
bang;bangs;is banging:Verb
bank;banks;is banking:Verb
banquet;banquets;is banqueting:Verb
banter;banters;is bantering:Verb
ban;bans;is baning:Verb
baptize;baptizes;is baptizeing:Verb
barbarize;barbarizes;is barbarizing:Verb
barbecue;barbecues;is barbecuing:Verb
bare;bares;is bareing:Verb
bargain;bargains;is bargaining:Verb
barrack;barracks;is barracking:Verb
barrel roll;barrel rolls;is barrel rolling:Verb
barrel;barrels;is barreling:Verb
barr;barrs;is barring:Verb
barter;barters;is bartering:Verb
bar;bars;is baring:Verb
basify;BASF's;is basifying:Verb
basset;bassets;is basseting:Verb
baste;bastes;is basting:Verb
bastinado;bastinados;is bastinadoing:Verb
batch;batchs;is batching:Verb
bate;bates;is bateing:Verb
bath;baths;is bathing:Verb
batter;batters;is battering:Verb
battledore;battledores;is battledoreing:Verb
bat;bats;is bating:Verb
baulk;baulks;is baulking:Verb
bayonet;bayonets;is bayoneting:Verb
beach;beachs;is beaching:Verb
beacon;beacons;is beaconing:Verb
beam;beams;is beaming:Verb
bean;beans;is beaning:Verb
bear off;bear offs;is bear offing:Verb
bear;bears;is bearing:Verb
beat down;beat downs;is beat downing:Verb
beatify;beatifys;is beatifying:Verb
beat;beats;is beating:Verb
beautify;beautifys;is beautifying:Verb
became;becames;is becoming:Verb
beckon;beckons;is beckoning:Verb
become;becomes;is becoming:Verb
bedevil;bedevils;is bedeviling:Verb
bedight;bedights;is bedighting:Verb
bedim;bedims;is bedimming:Verb
been;beens;is benign:Verb
beep;beeps;is beeping:Verb
beestride;beestrides;is bestriding:Verb
befallen;befallen;is befalling:Verb
befall;befalls;is befalling:Verb
befell;befells;is befalling:Verb
befit;befits;is befiting:Verb
befog;befogs;is befogging:Verb
began;begans;is begining:Verb
begat;begats;is begeting:Verb
beget;begets;is begeting:Verb
begin;begins;is begining:Verb
begird;begirds;is begirding:Verb
begotten;begottens;is begottening:Verb
begot;begots;is begoting:Verb
beguile;beguiles;is beguiling:Verb
begun;beguns;is beguning:Verb
beg;begs;is beging:Verb
beheld;behelds;is behelding:Verb
behold;beholds;is beholding:Verb
bejewel;bejewels;is bejeweling:Verb
belay;belays;is belaying:Verb
belch;belchs;is belching:Verb
belie;belies;is belieing:Verb
belly ache;belly aches;is belly aching:Verb
belly dance;belly dances;is belly dancing:Verb
belly flop;belly flops;is belly floping:Verb
belly;bellys;is bellying:Verb
bell;bells;is bellling:Verb
belt up;belt ups;is belt uping:Verb
bemean;bemeans;is bemoaning:Verb
bemoan;bemoans;is bemoaning:Verb
bename;benames;is benumbing:Verb
bend;bends;is bending:Verb
benempt;benempts;is benempting:Verb
berry;berrys;is berrying:Verb
beseech;beseechs;is beseeching:Verb
beseem;beseems;is beseemming:Verb
beset;besets;is beseting:Verb
besought;besought;is besoughting:Verb
bespeak;bespeaks;is bespeaking:Verb
bespread;bespreads;is bestriding:Verb
bestead;bedsteads;is besteading:Verb
bestir;bestirs;is bestirring:Verb
bestrew;bestrews;is bestrewing:Verb
betake;betakes;is betaking:Verb
bethink;bethinks;is bethinking:Verb
bethought;bethoughts;is bethoughting:Verb
betide;betides;is betiding:Verb
betook;betooks;is betaking:Verb
better;betters;is bettering:Verb
bet;bets;is beting:Verb
bevel;bevels;is beveling:Verb
bewail;bewails;is bewailing:Verb
beware;bewares;is bewaring:Verb
be;bes;is being:Verb
bias;biass;is biasing:Verb
bib;bibs;is bibing:Verb
bid in;bid ins;is bid ining:Verb
bid up;bid ups;is bid uping:Verb
bidden;biddens;is biding:Verb
bide;bides;is bideing:Verb
bid;bids;is biding:Verb
bifurcate;bifurcates;is bifurcating:Verb
big-note;big-notes;is big-noteing:Verb
bike;bikes;is biking:Verb
billow;billows;is billowing:Verb
bind;binds;is binding:Verb
bin;bins;is bining:Verb
bio-assay;bio-assays;is bio-assaying:Verb
bird dog;bird dogs;is bird doging:Verb
birl;birls;is birlling:Verb
birr;birrs;is birring:Verb
bist;bists;is bisting:Verb
bitch;bitchs;is bitching:Verb
bite;bites;is biting:Verb
bitten;bittens;is bittening:Verb
bitter;bitters;is bittering:Verb
bit;bits;is biting:Verb
bivouac;bivouacs;is bivouacking:Verb
blab;blabs;is blabing:Verb
black market;black markets;is black marketing:Verb
blackberry;blackberrys;is blackberrying:Verb
blacken;blackens;is blackening:Verb
blackleg;blacklegs;is backlogging:Verb
blackout;blackouts;is blackouting:Verb
black;blacks;is blacking:Verb
blanch;blanchs;is blanching:Verb
blare;blares;is blaring:Verb
blarney;blarneys;is blarneying:Verb
blastoff;blastoffs;is blastoffing:Verb
blast;blasts;is blasting:Verb
blat;blats;is blating:Verb
blaze;blazes;is blazing:Verb
bleach;bleachs;is bleaching:Verb
blench;blenchs;is blenching:Verb
blend;blends;is blending:Verb
blent;blents;is blunting:Verb
bless;blesss;is blessing:Verb
blest;blests;is blasting:Verb
blether;blethers;is blethering:Verb
blew;blews;is blewing:Verb
blight;blights;is blighting:Verb
blind;blinds;is blinding:Verb
blink;blinks;is blinking:Verb
blip;blips;is blipping:Verb
blister;blisters;is blistering:Verb
bloat;bloats;is bloating:Verb
blob;blobs;is blobing:Verb
blockade;blockades;is blockading:Verb
block;blocks;is blocking:Verb
bloodiest;bloodiest;is bloodiesting:Verb
bloody;bloodies;is bloodying:Verb
blotch;blotchs;is blotching:Verb
blot;blots;is bloting:Verb
blouse;blouses;is blousing:Verb
blow off;blow offs;is blow offing:Verb
blow out;blow outs;is blow outing:Verb
blow up;blow ups;is blow uping:Verb
blown;blowns;is blowing:Verb
blow;blows;is blowing:Verb
blubber;blubbers;is blubbering:Verb
blub;blubs;is blubing:Verb
bludge;bludges;is bulging:Verb
blue pencil;blue pencils;is blue pencilling:Verb
bluff;bluffs;is bluffing:Verb
blunder;blunders;is blundering:Verb
blur;blurs;is bluring:Verb
bluster;blusters;is blustering:Verb
board;boards;is boarding:Verb
bobble;bobbles;is bobbling:Verb
bob;bobs;is bobing:Verb
bode;bodes;is bodeing:Verb
bodge;bodges;is bogeying:Verb
body;bodys;is bodying:Verb
bog down;bog downs;is bog downing:Verb
bogey;bogeys;is bogeying:Verb
boil away;boil aways;is boil awaying:Verb
boil down;boil downs;is boil downing:Verb
boil off;boil offs;is boil offing:Verb
boil over;boil overs;is boil overing:Verb
boil;boils;is boilling:Verb
bomb out;bomb outs;is bomb outing:Verb
bombard;bombards;is bombarding:Verb
bomb;bombs;is bombing:Verb
bond;bonds;is bonding:Verb
bone;bones;is boneing:Verb
bong;bongs;is bonging:Verb
booby trap;booby traps;is booby traping:Verb
boodle;boodles;is bolding:Verb
boogie;boogies;is boogieing:Verb
boohoos;boohoos;is boohoosing:Verb
boohoo;boohoos;is boohooing:Verb
book into;book intos;is book intoning:Verb
book in;book ins;is book ining:Verb
book out;book outs;is book outing:Verb
book;books;is booking:Verb
boom;booms;is booming:Verb
bootleg;bootlegs;is bootlegging:Verb
bootlick;bootlicks;is bootlicking:Verb
boot;boots;is booting:Verb
booze;boozes;is boozing:Verb
boo;boos;is booing:Verb
Bop;Bops;is Boping:Verb
bop;bops;is boping:Verb
borate;borates;is berating:Verb
bore;bores;is boring:Verb
borne;bornes;is burning:Verb
born;borns;is boring:Verb
borrow;borrows;is borrowing:Verb
boss;bosss;is bossing:Verb
bot;bots;is boting:Verb
bought;boughts;is boughting:Verb
boult;boults;is bolting:Verb
bound;bounds;is bounding:Verb
bourgeon;bourgeons;is bourgeoning:Verb
bow out;bow outs;is bow outing:Verb
bowl;bowls;is bowling:Verb
bowse;bowses;is bowseing:Verb
bow;bows;is bowing:Verb
boxhaul;boxhauls;is boxhaulling:Verb
brabble;brabbles;is brawling:Verb
brace;braces;is bracing:Verb
brachiate;brachiates;is brachiateing:Verb
brag;brags;is braging:Verb
braise;braises;is braising:Verb
brake;brakes;is brakeing:Verb
bravest;bravests;is bravesting:Verb
break down;break downs;is break downing:Verb
break in;breaks in;is breaking in:Verb
break of day;break of days;is break of daying:Verb
break up;break ups;is break uping:Verb
breakaway;breakaways;is breakawaying:Verb
breakfast;breakfasts;is breakfasting:Verb
breakwater;breakwaters;is breakwatering:Verb
break;breaks;is breaking:Verb
bream;breams;is brimming:Verb
breathe;breathes;is breathing:Verb
brede;bredes;is breeding:Verb
breech;breechs;is breeching:Verb
brei;breis;is breiing:Verb
brevet;brevets;is breveting:Verb
brew;brews;is brewing:Verb
bribe;bribes;is bribing:Verb
bridge;bridges;is bridging:Verb
brighten;brightens;is brightening:Verb
brim;brims;is brimming:Verb
bristle;bristles;is bristling:Verb
broadcast;broadcasts;is broadcasting:Verb
broaden;broadens;is broadening:Verb
broil;broils;is broiling:Verb
broken;brokens;is brokering:Verb
broke;brokes;is brokeing:Verb
bromate;bromates;is bromateing:Verb
brominate;brominates;is brominateing:Verb
bronze;bronzes;is bronzing:Verb
brood;broods;is brooding:Verb
brought;broughts;is broughting:Verb
browbeat;browbeats;is browbeating:Verb
brown;browns;is browning:Verb
browse;browses;is browsing:Verb
bruise;bruises;is bruising:Verb
bruit;bruits;is bruiting:Verb
brush up;brush ups;is brush uping:Verb
brutalize;brutalizes;is brutalizeing:Verb
brutally;brutifys;is brutifying:Verb
bubble;bubbles;is bubbling:Verb
buck up;buck ups;is buck uping:Verb
buckle;buckles;is buckling:Verb
buckram;buckrams;is buckramming:Verb
budge;budges;is budgeing:Verb
bud;buds;is buding:Verb
buffet;buffets;is buffeting:Verb
buff;buffs;is buffing:Verb
bugger about;buggers about;is buggering about:Verb
bugger off;bugger offs;is bugger offing:Verb
bugger;buggers;is buggering:Verb
bug;bugs;is buging:Verb
build up;build ups;is build uping:Verb
build;builds;is building:Verb
built;builts;is building:Verb
bulge;bulges;is bulging:Verb
bulk up;bulk ups;is bulk uping:Verb
bulk;bulks;is bulking:Verb
bullshit;bullshits;is bullshiting:Verb
bullwhip;bullwhips;is bullwhipping:Verb
bully-off;bully-offs;is bully-offing:Verb
bullyrag;bullyrags;is bullyraging:Verb
bully;bullys;is bullying:Verb
bumble;bumbles;is bumbling:Verb
bump start;bump starts;is bump starting:Verb
bump;bumps;is bumping:Verb
bum;bums;is bumming:Verb
bunch;bunchs;is bunching:Verb
bunco;buncos;is buncoing:Verb
bundle up;bundles up;is bundling up:Verb
bunko;bunkos;is bunkoing:Verb
bunt;bunts;is bunting:Verb
burble;burbles;is burbling:Verb
burgeon;burgeons;is burgeoning:Verb
burgle;burgles;is burgling:Verb
burlesque;burlesques;is burlesquing:Verb
burn out;burns out;is burning out:Verb
burnish;burnishs;is burnishing:Verb
burn;burns;is burning:Verb
burrow;burrows;is burrowing:Verb
burr;burrs;is burring:Verb
burst;bursts;is bursting:Verb
burthen;burthens;is burthening:Verb
bury;burys;is burying:Verb
bur;burs;is buring:Verb
bushel;bushels;is bushelling:Verb
bushwhack;bushwhacks;is bushwhacking:Verb
bush;bushs;is bushing:Verb
buss;busss;is bussing:Verb
bust-up;bust-ups;is bust-uping:Verb
bustle;bustles;is bustling:Verb
bust;busts;is busting:Verb
busy;busys;is busying:Verb
bus;buss;is busing:Verb
button;buttons;is buttoning:Verb
bootstrap;bootstraps;is bootstrapping:Verb
butt;butts;is buting:Verb
buy in;buys in;is buying in:Verb
buy;buys;is buying:Verb
bypass;bypasss;is bypassing:Verb
cabal;cabals;is caballing:Verb
cabbage;cabbages;is cabbageing:Verb
cabin;cabins;is cabining:Verb
cable;cables;is cabling:Verb
caddie;caddies;is caddying:Verb
cadge;cadges;is cadging:Verb
cagmag;cagmags;is cagmaging:Verb
cajole;cajoles;is cajoling:Verb
calcify;calcifys;is calcifying:Verb
calculate;calculates;is calculating:Verb
calk;calks;is calking:Verb
calls in;calls in;is calling in:Verb
call out;calls out;is calling out:Verb
call up;calls up;is calling upg:Verb
callous;callouss;is callousing:Verb
callus;calluss;is callusing:Verb
call;calls;is calling:Verb
calm;calms;is calmming:Verb
calque;calques;is clacking:Verb
calve;calves;is calving:Verb
camber;cambers;is cambering:Verb
came;cames;is camping:Verb
canal;canals;is canalling:Verb
cancel;cancels;is cancelling:Verb
candy;candys;is candying:Verb
canker;cankers;is cankering:Verb
cannonade;cannonades;is cannonading:Verb
cannon;cannons;is cannoning:Verb
cannot;cannots;is cannoting:Verb
Cannulate;Cannulates;is Cannulateing:Verb
canoe;canoes;is canoeing:Verb
canopy;canopys;is canopying:Verb
canst;cansts;is canting:Verb
canter;canters;is cantering:Verb
cantillate;cantillates;is cantillateing:Verb
canton;cantons;is cannoning:Verb
canvass;canvasss;is canvassing:Verb
can;cans;is caning:Verb
capitalize;capitalizes;is capitalizing:Verb
capsize;capsizes;is capsizing:Verb
caption;captions;is captioning:Verb
cap;caps;is caping:Verb
caramelize;caramelizes;is caramelizing:Verb
caravan;caravans;is caravaning:Verb
carbonado;carbonados;is carbonating:Verb
carbonate;carbonates;is carbonating:Verb
carbonize;carbonizes;is carbonizing:Verb
carburet;carburets;is carbureting:Verb
carburize;carburizes;is carburizeing:Verb
card index;card indexs;is card indexing:Verb
careen;careens;is careening:Verb
care;cares;is careing:Verb
carillon;carillons;is carilloning:Verb
cark;carks;is carking:Verb
carnify;carnifys;is carnifying:Verb
carny;carnys;is carnying:Verb
carol;carols;is caroling:Verb
carries;carriess;is carousing:Verb
carry on;carry ons;is carry oning:Verb
carry;carrys;is carrying:Verb
cartelize;cartelizes;is cartelizeing:Verb
cart;carts;is carting:Verb
carven;carvens;is caravaning:Verb
casefy;cassettes;is classifying:Verb
cash in;cash ins;is cash ining:Verb
casserole;casseroles;is casseroleing:Verb
cast back;cast backs;is cast backing:Verb
cast on;cast ons;is cast oning:Verb
castaway;castaways;is castawaying:Verb
castle;castles;is castling:Verb
cast;casts;is casting:Verb
catalogue;catalogues;is cataloguing:Verb
catcall;catcalls;is catcalling:Verb
catch up;catch ups;is catch uping:Verb
catch;catchs;is catching:Verb
catenate;patentees;is catenateing:Verb
Catholics;catholicizes;is catholicizeing:Verb
catnap;catnaps;is catnapping:Verb
cat;cats;is cating:Verb
caught;caught;is coughing:Verb
caulk;caulks;is caulking:Verb
cavil;cavils;is caviling:Verb
cease;ceases;is ceasing:Verb
cede;cedes;is ceding:Verb
celebrate;celebrates;is celebrating:Verb
censure;censures;is censuring:Verb
center;centers;is centering:Verb
centralize;centralizes;is centralizing:Verb
centre;centers;is centering:Verb
centuplicate;centuplicates;is centuplicateing:Verb
certificate;certificates;is certificating:Verb
certify;certifys;is certifying:Verb
chafe;chafes;is chafeing:Verb
chaff;chaffs;is chaffing:Verb
chagrin;chagrins;is chagrining:Verb
chain stitch;chain stitchs;is chain stitching:Verb
chain-smoke;chain-smokes;is chain-smoking:Verb
chain;chains;is chaining:Verb
chalk;chalks;is chalking:Verb
challenge;challenges;is challenging:Verb
champ;champs;is champing:Verb
change round;change rounds;is change rounding:Verb
changeover;changeovers;is changeovering:Verb
change;changes;is changeing:Verb
channel;channels;is channelling:Verb
chant;chants;is chanting:Verb
chaperon;chaperons;is chaperoning:Verb
chap;chaps;is chaping:Verb
charge;charges;is charging:Verb
charm;charms;is charming:Verb
char;chars;is charing:Verb
chase;chases;is chasing:Verb
chass;chasses;is chassing:Verb
chatter;chatters;is chattering:Verb
chat;chats;is chating:Verb
chauffeur;chauffeurs;is chauffeuring:Verb
chaw;chaws;is chawing:Verb
cheapen;cheapens;is cheapening:Verb
cheat;cheats;is cheating:Verb
check in;check ins;is check ining:Verb
checker;checkers;is checkering:Verb
checksum;checksums;is checksumming:Verb
check;checks;is checking:Verb
cheer;cheers;is cheering:Verb
cheese;cheeses;is cheesing:Verb
cheezit;cheezits;is cheeziting:Verb
chevy;chevys;is chevying:Verb
chew;chews;is chewing:Verb
chide;chides;is chiding:Verb
chime;chimes;is chiming:Verb
chink;chinks;is chinking:Verb
chin;chins;is chining:Verb
chip in;chips in;is chipping in:Verb
chip;chips;is chiping:Verb
chisel;chisels;is chiselling:Verb
chitchat;chitchats;is chitchating:Verb
chivy;chivys;is chivying:Verb
chomp;chomps;is chomping:Verb
chondrify;chondrifys;is chondrifying:Verb
chook;chooks;is chooking:Verb
choose;chooses;is choosing:Verb
chop;chops;is choping:Verb
chorus;choruss;is chorusing:Verb
chosen;chosens;is chosening:Verb
chose;choses;is choseing:Verb
chrome;chromes;is chroming:Verb
chuck;chucks;is chucking:Verb
chug;chugs;is chugging:Verb
chump;chumps;is chumping:Verb
chum;chums;is chumming:Verb
churn;churns;is churning:Verb
churr;churrs;is churring:Verb
chute;chutes;is chuteing:Verb
chyack;checks;is checking:Verb
cicatrize;cicatrizes;is cicatrizeing:Verb
cinch;cinchs;is cinching:Verb
cinematograph;cinematographs;is cinematographing:Verb
cipher;ciphers;is ciphering:Verb
circuit;circuits;is circuiting:Verb
circulate;circulates;is circulating:Verb
circumambulate;circumambulates;is circumambulateing:Verb
citify;citifys;is citifying:Verb
clack;clacks;is clacking:Verb
clad;clads;is clading:Verb
claim;claims;is claimming:Verb
clamber;clambers;is clambering:Verb
clam;clams;is clamming:Verb
clang;clangs;is clanging:Verb
clank;clanks;is clanking:Verb
clapper;clappers;is clappering:Verb
clap;claps;is claping:Verb
clarify;clarifys;is clarifying:Verb
clarion;clarions;is clarioning:Verb
clash;clashs;is clashing:Verb
classify;classifys;is classifying:Verb
class;classs;is classing:Verb
clatter;clatters;is clattering:Verb
clave;claves;is calving:Verb
claw off;claws off;is clawing off:Verb
claw;claws;is clawing:Verb
clean up;clean ups;is clean uping:Verb
clean;cleans;is cleaning:Verb
clear away;clear aways;is clear awaying:Verb
clear out;clear outs;is clear outing:Verb
clear up;clear ups;is clear uping:Verb
clear;clears;is clearing:Verb
cleave;cleaves;is cleaving:Verb
cleft;clefts;is clefting:Verb
clem;clems;is clemming:Verb
clench;clenchs;is clenching:Verb
clepe;clepes;is clepeing:Verb
clept;clepts;is clepting:Verb
clew up;clew ups;is clew uping:Verb
click;clicks;is clicking:Verb
climax;climaxs;is climaxing:Verb
climb;climbs;is climbing:Verb
clink;clinks;is clinking:Verb
clip;clips;is clipping:Verb
clog;clogs;is cloging:Verb
cloke;clokes;is clokeing:Verb
clomb;clombs;is clombing:Verb
clomp;clomps;is clomping:Verb
clop;clops;is cloping:Verb
close down;close downs;is close downing:Verb
close out;close outs;is close outing:Verb
close-up;close-ups;is close-uping:Verb
closer;closers;is closering:Verb
closest;closests;is closeting:Verb
close;closes;is closeing:Verb
clothe;clothes;is clothing:Verb
clot;clots;is cloting:Verb
cloud;clouds;is clouding:Verb
cloven;clovens;is clovening:Verb
clove;cloves;is cloveing:Verb
cloy;cloys;is cloying:Verb
clubhaul;clubhauls;is clubhaulling:Verb
club;clubs;is clubing:Verb
clue;clues;is clueing:Verb
clung;clungs;is clunging:Verb
clunk;clunks;is clunking:Verb
cluster;clusters;is clustering:Verb
clutter;clutters;is cluttering:Verb
co-star;co-stars;is co-starring:Verb
coach;coachs;is coaching:Verb
coagulate;coagulates;is coagulating:Verb
coal;coals;is coalling:Verb
coarsen;coarsens;is coarsening:Verb
coast;coasts;is coasting:Verb
coax;coaxs;is coaxing:Verb
cob;cobs;is cobing:Verb
cockle;cockles;is cackling:Verb
cockneyfy;cockneyfys;is cockneyfying:Verb
cockup;cockups;is cockuping:Verb
codify;codifys;is codifying:Verb
cod;cods;is coding:Verb
coextend;coextends;is coextending:Verb
coff;coffs;is coffing:Verb
coft;cofts;is cofting:Verb
cogitate;cogitates;is cogitating:Verb
cog;cogs;is coging:Verb
coif;coifs;is coifing:Verb
coil;coils;is coilling:Verb
coinsure;coiners;is censuring:Verb
coke;cokes;is cokeing:Verb
cold shoulder;cold shoulders;is cold shouldering:Verb
cold work;cold works;is cold working:Verb
collect;collects;is collecting:Verb
collogue;collogues;is collogueing:Verb
colonize;colonizes;is colonizing:Verb
color;colors;is coloring:Verb
combat;combats;is combating:Verb
combine;combines;is combining:Verb
combust;combusts;is combusting:Verb
comb;combs;is combing:Verb
